Date, Open, High, Low, Close
2020-09-01,3507.44,3528.03,3494.6,3526.65
2020-09-02,3543.76,3588.11,3535.23,3580.84
2020-09-03,3564.74,3564.85,3427.41,3455.06
2020-09-04,3453.6,3479.15,3349.63,3426.96
2020-09-08,3371.88,3379.97,3329.27,3331.84
2020-09-09,3369.82,3424.77,3366.84,3398.96
2020-09-10,3412.56,3425.55,3329.25,3339.19
2020-09-11,3352.7,3368.95,3310.47,3340.97
2020-09-14,3363.56,3402.93,3363.56,3383.54
2020-09-15,3407.73,3419.48,3389.25,3401.2
2020-09-16,3411.23,3428.92,3384.45,3385.49
2020-09-17,3346.86,3375.17,3328.82,3357.01
2020-09-18,3357.38,3362.27,3292.4,3319.47
2020-09-21,3285.57,3285.57,3229.1,3281.06
2020-09-22,3295.75,3320.31,3270.95,3315.57
2020-09-23,3320.11,3323.35,3232.57,3236.92
2020-09-24,3226.14,3278.7,3209.45,3246.59
2020-09-25,3236.66,3306.88,3228.44,3298.46
2020-09-28,3333.9,3360.74,3332.91,3351.6
2020-09-29,3350.92,3357.92,3327.54,3335.47
2020-09-30,3341.21,3393.56,3340.47,3363
2020-10-01,3385.87,3397.18,3361.39,3380.8
2020-10-02,3338.94,3369.1,3323.69,3348.44
2020-10-05,3367.27,3409.57,3367.27,3408.63
2020-10-06,3408.74,3431.56,3354.54,3360.95
2020-10-07,3384.56,3426.26,3384.56,3419.45
2020-10-08,3434.28,3447.28,3428.15,3446.83
2020-10-09,3459.67,3482.34,3458.07,3477.13
2020-10-12,3500.02,3549.85,3499.61,3534.22
2020-10-13,3534.01,3534.01,3500.86,3511.93
2020-10-14,3515.47,3527.94,3480.55,3488.67
2020-10-15,3453.72,3489.08,3440.89,3483.34
2020-10-16,3493.5,3515.76,3480.45,3483.81
2020-10-19,3493.66,3502.42,3419.93,3426.92
2020-10-20,3439.38,3476.93,3435.65,3443.12
2020-10-21,3439.91,3464.86,3433.06,3435.56
2020-10-22,3438.5,3460.53,3415.34,3453.49
2020-10-23,3464.9,3466.46,3440.45,3465.39
2020-10-26,3441.42,3441.42,3364.86,3400.97
2020-10-27,3403.15,3409.51,3388.71,3390.68
2020-10-28,3342.48,3342.48,3268.89,3271.03
2020-10-29,3277.17,3341.05,3259.82,3310.11
2020-10-30,3293.59,3304.93,3233.94,3269.96
2020-11-02,3296.2,3330.14,3279.74,3310.24
2020-11-03,3336.25,3389.49,3336.25,3369.16
2020-11-04,3406.46,3486.25,3405.17,3443.44
2020-11-05,3485.74,3529.05,3485.74,3510.45
2020-11-06,3508.34,3521.58,3484.34,3509.44
2020-11-09,3583.04,3645.99,3547.48,3550.5
2020-11-10,3543.26,3557.22,3511.91,3545.53
2020-11-11,3563.22,3581.16,3557,3572.66
2020-11-12,3562.67,3569.02,3518.58,3537.01
2020-11-13,3552.57,3593.66,3552.57,3585.15
2020-11-16,3600.16,3628.51,3600.16,3626.91
2020-11-17,3610.31,3623.11,3588.68,3609.53
2020-11-18,3612.09,3619.09,3567.33,3567.79
2020-11-19,3559.41,3585.22,3543.84,3581.87
2020-11-20,3579.31,3581.23,3556.85,3557.54
2020-11-23,3566.82,3589.81,3552.77,3577.59
2020-11-24,3594.52,3642.31,3594.52,3635.41
2020-11-25,3635.5,3635.5,3617.76,3629.65
2020-11-27,3638.55,3644.31,3629.33,3638.35
2020-11-30,3634.18,3634.18,3594.39,3621.63
2020-12-01,3645.87,3678.45,3645.87,3662.45
2020-12-02,3653.78,3670.96,3644.84,3669.01
2020-12-03,3668.28,3682.73,3657.17,3666.72
2020-12-04,3670.94,3699.2,3670.94,3699.12
2020-12-07,3694.73,3697.41,3678.88,3691.96
2020-12-08,3683.05,3708.45,3678.83,3702.25
2020-12-09,3705.98,3712.39,3660.54,3672.82
2020-12-10,3659.13,3678.49,3645.18,3668.1
2020-12-11,3656.08,3665.91,3633.4,3663.46
2020-12-14,3675.27,3697.61,3645.84,3647.49
2020-12-15,3666.41,3695.29,3659.62,3694.62
2020-12-16,3696.25,3711.27,3688.57,3701.17
2020-12-17,3713.65,3725.12,3710.87,3722.48
2020-12-18,3722.39,3726.7,3685.84,3709.41
2020-12-21,3684.28,3702.9,3636.48,3694.92
2020-12-22,3698.08,3698.26,3676.16,3687.26
2020-12-23,3693.42,3711.24,3689.28,3690.01
2020-12-24,3694.03,3703.82,3689.32,3703.06
2020-12-28,3723.03,3740.51,3723.03,3735.36
2020-12-29,3750.01,3756.12,3723.31,3727.04
2020-12-30,3736.19,3744.63,3730.21,3732.04
2020-12-31,3733.27,3760.2,3726.88,3756.07
2021-01-04,3764.61,3769.99,3662.71,3700.65
2021-01-05,3698.02,3737.83,3695.07,3726.86
2021-01-06,3712.2,3783.04,3705.34,3748.14
2021-01-07,3764.71,3811.55,3764.71,3803.79
2021-01-08,3815.05,3826.69,3783.6,3824.68
2021-01-11,3803.14,3817.86,3789.02,3799.61
2021-01-12,3801.62,3810.78,3776.51,3801.19
2021-01-13,3802.23,3820.96,3791.5,3809.84
2021-01-14,3814.98,3823.6,3792.86,3795.54
2021-01-15,3788.73,3788.73,3749.62,3768.25
2021-01-19,3781.88,3804.53,3780.37,3798.91
2021-01-20,3816.22,3859.75,3816.22,3851.85
2021-01-21,3857.46,3861.45,3845.05,3853.07
2021-01-22,3844.24,3852.31,3830.41,3841.47
2021-01-25,3851.68,3859.23,3797.16,3855.36
2021-01-26,3862.96,3870.9,3847.78,3849.62
2021-01-27,3836.83,3836.83,3732.48,3750.77
2021-01-28,3755.75,3830.5,3755.75,3787.38
2021-01-29,3778.05,3778.05,3694.12,3714.24
2021-02-01,3731.17,3784.32,3725.62,3773.86
2021-02-02,3791.84,3843.09,3791.84,3826.31
2021-02-03,3840.27,3847.51,3816.68,3830.17
2021-02-04,3836.66,3872.42,3836.66,3871.74
2021-02-05,3878.3,3894.56,3874.93,3886.83
2021-02-08,3892.59,3915.77,3892.59,3915.59
2021-02-09,3910.49,3918.35,3902.64,3911.23
2021-02-10,3920.78,3931.5,3884.94,3909.88
2021-02-11,3916.4,3925.99,3890.39,3916.38
2021-02-12,3911.65,3937.23,3905.78,3934.83
2021-02-16,3939.61,3950.43,3923.85,3932.59
2021-02-17,3918.5,3933.61,3900.43,3931.33
2021-02-18,3915.86,3921.98,3885.03,3913.97
2021-02-19,3921.16,3930.41,3903.07,3906.71
2021-02-22,3885.55,3902.92,3874.71,3876.5
2021-02-23,3857.07,3895.98,3805.59,3881.37
2021-02-24,3873.71,3928.65,3859.6,3925.43
2021-02-25,3915.8,3925.02,3814.04,3829.34
2021-02-26,3839.66,3861.08,3789.54,3811.15
2021-03-01,3842.51,3914.5,3842.51,3901.82
